Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sun,11/20/22,19:00 (11:00),Qatar qa,,,,ec Ecuador,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
1,Mon,11/21/22,16:00 (08:00),England eng,,,,ir IR Iran,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
1,Mon,11/21/22,19:00 (11:00),Senegal sn,,,,nl Netherlands,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
1,Mon,11/21/22,22:00 (14:00),United States us,,,,wls Wales,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
1,Tue,11/22/22,13:00 (05:00),Argentina ar,,,,sa Saudi Arabia,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
1,Tue,11/22/22,16:00 (08:00),Denmark dk,,,,tn Tunisia,,Education City Stadium (Neutral Site),,Head-to-Head,
1,Tue,11/22/22,19:00 (11:00),Mexico mx,,,,pl Poland,,Stadium 974 (Neutral Site),,Head-to-Head,
1,Tue,11/22/22,22:00 (14:00),France fr,,,,au Australia,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
1,Wed,11/23/22,13:00 (05:00),Morocco ma,,,,hr Croatia,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
1,Wed,11/23/22,16:00 (08:00),Germany de,,,,jp Japan,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
1,Wed,11/23/22,19:00 (11:00),Spain es,,,,cr Costa Rica,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
1,Wed,11/23/22,22:00 (14:00),Belgium be,,,,ca Canada,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
1,Thu,11/24/22,13:00 (05:00),Switzerland ch,,,,cm Cameroon,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
1,Thu,11/24/22,16:00 (08:00),Uruguay uy,,,,kr Korea Republic,,Education City Stadium (Neutral Site),,Head-to-Head,
1,Thu,11/24/22,19:00 (11:00),Portugal pt,,,,gh Ghana,,Stadium 974 (Neutral Site),,Head-to-Head,
1,Thu,11/24/22,22:00 (14:00),Brazil br,,,,rs Serbia,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
,,,,,,,,,,,,,
2,Fri,11/25/22,13:00 (05:00),Wales wls,,,,ir IR Iran,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
2,Fri,11/25/22,16:00 (08:00),Qatar qa,,,,sn Senegal,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
2,Fri,11/25/22,19:00 (11:00),Netherlands nl,,,,ec Ecuador,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
2,Fri,11/25/22,22:00 (14:00),England eng,,,,us United States,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
2,Sat,11/26/22,13:00 (05:00),Tunisia tn,,,,au Australia,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
2,Sat,11/26/22,16:00 (08:00),Poland pl,,,,sa Saudi Arabia,,Education City Stadium (Neutral Site),,Head-to-Head,
2,Sat,11/26/22,19:00 (11:00),France fr,,,,dk Denmark,,Stadium 974 (Neutral Site),,Head-to-Head,
2,Sat,11/26/22,22:00 (14:00),Argentina ar,,,,mx Mexico,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
2,Sun,11/27/22,13:00 (05:00),Japan jp,,,,cr Costa Rica,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
2,Sun,11/27/22,16:00 (08:00),Belgium be,,,,ma Morocco,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
2,Sun,11/27/22,19:00 (11:00),Croatia hr,,,,ca Canada,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
2,Sun,11/27/22,22:00 (14:00),Spain es,,,,de Germany,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
2,Mon,11/28/22,13:00 (05:00),Cameroon cm,,,,rs Serbia,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
